;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;10.175;12.691;16.507;20.444;24.489;28.428;32.242;36.22;40.364;44.739;49.294;52.84;57.995;62.931;67.78;72.613;77.473;82.383;87.355;92.397;97.432;102.431;107.465;112.548;117.689;122.905;128.246;134.008;140.065;146.385;152.682;158.847;165.073;171.378;177.772;184.263;190.856;197.556;204.37;211.303;218.362;225.553;232.882;240.357;247.983;255.767;263.714;271.831;280.123;288.596;297.256;306.108;315.156;324.407;333.864;343.533;353.418;363.524;373.855;373.855
EU;10.744;13.078;16.67;20.253;23.847;27.217;30.384;33.517;36.605;39.402;42.746;46.423;51.098;55.624;60.076;64.493;68.891;73.279;77.66;82.033;86.456;90.946;95.458;99.986;104.528;109.096;113.731;118.761;124.052;129.57;134.988;140.19;145.406;150.655;155.949;161.295;166.698;172.162;177.693;183.295;188.974;194.735;200.583;206.525;212.565;218.708;224.96;231.326;237.81;244.417;251.151;258.017;265.019;272.16;279.445;286.878;294.461;302.199;310.094;310.094
JAP;3.281;3.622;4.292;4.851;5.092;5.474;5.977;6.453;6.903;7.266;7.785;8.402;9.266;10.099;10.919;11.737;12.558;13.384;14.219;15.062;15.922;16.801;17.694;18.603;19.527;20.471;21.44;22.498;23.619;24.795;25.966;27.107;28.262;29.434;30.626;31.839;33.076;34.338;35.626;36.942;38.287;39.663;41.073;42.517;43.998;45.517;47.077;48.679;50.325;52.017;53.757;55.547;57.389;59.284;61.235;63.243;65.312;67.442;69.636;69.636
RUS;1.372;1.82;2.243;2.622;2.995;3.374;3.757;4.127;4.48;4.765;5.175;5.728;6.427;7.128;7.838;8.562;9.302;10.059;10.834;11.626;12.422;13.218;14.023;14.84;15.67;16.517;17.381;18.305;19.272;20.277;21.277;22.256;23.246;24.25;25.271;26.311;27.371;28.453;29.558;30.688;31.843;33.026;34.239;35.481;36.757;38.066;39.41;40.792;42.212;43.674;45.177;46.724;48.318;49.958;51.649;53.39;55.184;57.034;58.94;58.94
EUR;0.649;0.845;1.198;1.591;2.024;2.482;2.972;3.489;4.028;4.552;5.167;5.89;6.73;7.591;8.476;9.382;10.308;11.252;12.21;13.181;14.189;15.244;16.325;17.43;18.555;19.703;20.88;22.129;23.434;24.79;26.145;27.477;28.823;30.187;31.572;32.981;34.414;35.873;37.361;38.879;40.429;42.015;43.636;45.297;46.999;48.745;50.537;52.378;54.27;56.215;58.216;60.275;62.396;64.58;66.831;69.15;71.542;74.008;76.552;76.552
CHI;3.424;9.188;13.163;17.402;21.766;26.026;30.551;35.209;39.956;44.313;49.195;56.131;62.476;68.953;75.467;81.94;88.308;94.513;100.507;106.247;111.9;117.499;122.842;127.881;132.581;136.928;140.954;145.054;149.082;153.011;156.44;159.287;161.882;164.243;166.382;168.306;170.017;171.518;172.81;173.893;174.769;175.44;175.906;176.171;176.236;176.105;175.782;175.273;174.584;173.726;172.708;171.545;170.254;168.856;167.375;165.843;164.294;162.772;161.327;161.327
IND;1.713;3.345;5.483;8.214;11.619;15.345;19.335;23.817;28.764;34.142;39.879;45.868;52.355;59.001;65.767;72.606;79.471;86.319;93.11;99.809;106.989;114.876;122.981;131.221;139.542;147.93;156.453;165.611;175.193;185.132;195.02;204.684;214.356;224.047;233.757;243.487;253.238;263.012;272.815;282.651;292.527;302.451;312.429;322.469;332.578;342.762;353.027;363.38;373.824;384.365;395.006;405.751;416.601;427.559;438.625;449.8;461.085;472.477;483.977;483.977
MEST;2.577;4.305;6.626;9.456;12.818;16.278;19.893;23.943;28.446;33.712;38.752;42.268;46.657;50.881;54.989;59.002;62.929;66.77;70.525;74.191;78.178;82.634;87.228;91.914;96.67;101.493;106.411;111.785;117.455;123.385;129.331;135.195;141.127;147.138;153.233;159.417;165.694;172.071;178.554;185.151;191.868;198.715;205.701;212.834;220.123;227.577;235.207;243.019;251.024;259.231;267.649;276.286;285.152;294.256;303.607;313.213;323.085;333.232;343.662;343.662
AFR;0.909;1.7;3.074;5.108;8.031;11.484;15.246;19.764;25.093;31.622;38.048;43.599;49.138;54.715;60.26;65.705;70.994;76.08;80.925;85.5;90.307;95.514;101.386;107.359;113.341;119.292;125.323;131.788;138.559;145.575;152.505;159.217;165.898;172.549;179.166;185.749;192.297;198.812;205.297;211.756;218.195;224.621;231.039;237.455;243.876;250.307;256.753;263.22;269.712;276.232;282.784;289.371;295.996;302.66;309.366;316.113;322.903;329.736;336.612;336.612
LAM;3.479;5.414;7.961;10.954;14.245;17.555;21.005;24.707;28.633;32.745;37.132;41.282;46.308;51.292;56.264;61.232;66.194;71.143;76.071;80.969;86.23;92.01;97.992;104.13;110.402;116.805;123.35;130.372;137.724;145.377;152.984;160.408;167.892;175.464;183.139;190.93;198.846;206.897;215.092;223.441;231.954;240.643;249.517;258.59;267.871;277.372;287.104;297.08;307.311;317.807;328.582;339.645;351.01;362.688;374.691;387.03;399.718;412.768;426.191;426.191
