;US;EU;JAP;RUS;EUR;CHI;IND;MEST;AFR;LAM;OHI;OTH
gamma;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
d_k;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
rho;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
alpha;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
d_1;0;0;0;0;0;0.078458281;0.438521283;0.277989264;0.340973731;0.060898591;0;0.175512229
d_2;0.1414;0.1591;0.1617;0.1151;0.1305;0.1259;0.1689;0.1586;0.1983;0.1345;0.1564;0.1734
d_3;2;2;2;2;2;2;2;2;2;2;2;2
cat_treash;4;4;4;4;4;4;4;4;4;4;4;4
d_3_cat;6;6;6;6;6;6;6;6;6;6;6;6
pback;1.134;1.764;1.764;0.756;0.756;0.882;1.386;1.26;1.386;1.638;1.386;1.512
d_ab;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
th_2;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8
E_0;1.662133455;1.146050619;0.369965926;0.431236182;0.256666293;1.600741128;0.40515159;0.58967496;0.191377084;0.412272399;0.541778261;0.363952103
Sig_0;0.134065723;0.08794763;0.095591421;0.253973604;0.317917935;0.300144622;0.165989167;0.169441796;0.147153133;0.090440835;0.141012818;0.138956043
Eland_0;0;0;0;0;0;0;0;0;0.3;0.6;0;0.7
d_el;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
d_sig;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
tr_sig;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025;-0.0025
tot_sig;-0.0175;-0.0145;-0.0175;-0.0173;-0.024;-0.0249;-0.0221;-0.0176;-0.0221;-0.015;-0.0187;-0.019
sig_9506;-0.0225;-0.017;-0.0025;-0.0373;-0.038;-0.0229;-0.0296;0.0274;-0.0246;-0.004;-0.0087;-0.001
add_sig;0.9;0.77;1.08;0.88;0.85;1.02;1.18;0.99;0.84;0.96;0.96;1.31
s_r;0.213;0.216;0.215;0.217;0.226;0.215;0.23;0.22;0.23;0.225;0.213;0.227
d1_slr;0;0.004517;0.00053;0;0.000111;0.011718;0;0.001381;0.003509;0;0.006162;0
d2_slr;0.000255;0;0.000053;0.000042;0;0.000001;0.000255;0;0;0.000071;0;0.001239
sig_15_add;0.9;0.77;1.08;0.88;0.85;1.02;1.18;0.99;0.84;0.96;0.96;1.31
