;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;0.01;0.02;0.04;0.08;0.15;0.24;0.35;0.51;0.7;0.93;1.21;1.53;1.92;2.34;2.82;3.34;3.92;4.56;5.27;6.03;6.87;7.77;8.74;9.78;10.91;12.11;13.23;14.16;15;15.8;16.58;17.35;18.17;19.04;19.98;21;22.1;23.29;24.58;25.97;27.45;29.04;30.73;32.54;34.46;36.5;38.67;40.96;43.39;45.97;48.69;51.57;54.61;57.82;61.21;64.79;68.56;72.53;76.73;81.15
EU;0.01;0.04;0.08;0.14;0.23;0.36;0.52;0.72;0.97;1.27;1.65;2.13;2.71;3.36;4.1;4.93;5.86;6.89;8.03;9.27;10.64;12.13;13.75;15.51;17.4;19.42;21.4;23.23;25.01;26.79;28.55;30.29;32.08;33.94;35.9;37.96;40.13;42.42;44.83;47.36;50.02;52.81;55.75;58.82;62.04;65.42;68.95;72.64;76.51;80.55;84.78;89.19;93.81;98.63;103.67;108.93;114.42;120.16;126.15;132.4
JAP;0;0.01;0.01;0.02;0.04;0.05;0.08;0.1;0.14;0.18;0.23;0.29;0.36;0.44;0.53;0.63;0.74;0.86;0.99;1.13;1.28;1.45;1.62;1.81;2.01;2.22;2.41;2.56;2.68;2.79;2.89;2.98;3.07;3.17;3.27;3.38;3.5;3.63;3.76;3.91;4.07;4.23;4.41;4.6;4.79;5;5.22;5.45;5.69;5.94;6.21;6.48;6.77;7.07;7.39;7.72;8.06;8.43;8.8;9.2
RUS;0;0;0;0.01;0.01;0.02;0.03;0.05;0.06;0.08;0.1;0.13;0.17;0.21;0.26;0.31;0.37;0.43;0.5;0.58;0.66;0.75;0.84;0.94;1.05;1.16;1.26;1.34;1.4;1.45;1.5;1.54;1.58;1.62;1.67;1.72;1.77;1.83;1.9;1.96;2.04;2.11;2.2;2.28;2.38;2.47;2.58;2.68;2.8;2.92;3.04;3.17;3.31;3.45;3.6;3.76;3.92;4.09;4.27;4.46
EUR;0;0;0;0.01;0.01;0.02;0.03;0.05;0.06;0.09;0.12;0.16;0.2;0.26;0.32;0.39;0.47;0.56;0.65;0.76;0.87;1;1.13;1.28;1.43;1.59;1.74;1.85;1.94;2.02;2.09;2.14;2.2;2.26;2.32;2.38;2.45;2.52;2.6;2.68;2.76;2.86;2.95;3.05;3.16;3.27;3.38;3.5;3.63;3.76;3.89;4.03;4.17;4.32;4.48;4.64;4.8;4.97;5.15;5.33
CHI;0.01;0.06;0.12;0.22;0.37;0.58;0.86;1.24;1.71;2.34;3.18;4.3;5.65;7.26;9.19;11.44;14.04;17.01;20.35;24.09;28.29;33;38.22;43.94;50.18;56.91;63.96;71.17;78.61;86.37;94.25;102.12;110.15;118.42;126.95;135.76;144.85;154.23;163.92;173.9;184.18;194.76;205.64;216.83;228.31;240.09;252.16;264.52;277.15;290.05;303.21;316.61;330.24;344.08;358.12;372.33;386.71;401.22;415.86;430.6
IND;0.01;0.03;0.06;0.12;0.21;0.35;0.54;0.8;1.14;1.56;2.09;2.71;3.45;4.3;5.26;6.33;7.53;8.84;10.27;11.83;13.58;15.58;17.78;20.19;22.81;25.62;28.34;30.77;33.06;35.31;37.53;39.76;42.08;44.53;47.15;49.94;52.92;56.11;59.51;63.14;66.99;71.09;75.44;80.04;84.91;90.07;95.51;101.26;107.33;113.72;120.46;127.55;135.03;142.89;151.17;159.87;169.02;178.63;188.74;199.35
MEST;0.01;0.03;0.05;0.11;0.19;0.31;0.47;0.68;0.97;1.34;1.76;2.22;2.75;3.34;3.99;4.7;5.46;6.29;7.17;8.11;9.15;10.32;11.59;12.96;14.42;15.96;17.41;18.65;19.76;20.82;21.83;22.81;23.81;24.84;25.93;27.08;28.29;29.57;30.92;32.35;33.85;35.43;37.09;38.83;40.66;42.57;44.57;46.66;48.84;51.12;53.49;55.98;58.57;61.27;64.08;67.02;70.08;73.28;76.61;80.08
AFR;0.01;0.01;0.04;0.08;0.17;0.31;0.51;0.82;1.24;1.84;2.59;3.43;4.41;5.55;6.85;8.32;9.95;11.75;13.69;15.77;18.1;20.73;23.77;27.14;30.8;34.74;38.68;42.42;46.09;49.8;53.52;57.25;61.08;65.07;69.23;73.59;78.15;82.92;87.91;93.13;98.59;104.28;110.23;116.43;122.89;129.63;136.65;143.96;151.58;159.51;167.76;176.35;185.29;194.59;204.27;214.34;224.81;235.7;247.03;258.81
LAM;0.01;0.01;0.03;0.06;0.1;0.17;0.26;0.39;0.54;0.74;0.98;1.26;1.6;1.98;2.4;2.87;3.39;3.95;4.55;5.2;5.93;6.74;7.63;8.58;9.61;10.69;11.68;12.49;13.17;13.78;14.34;14.86;15.38;15.92;16.5;17.13;17.8;18.52;19.29;20.12;21;21.94;22.94;24;25.12;26.3;27.55;28.87;30.25;31.71;33.24;34.85;36.54;38.31;40.18;42.13;44.18;46.33;48.58;50.95
