;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;1.6614;1.6231;1.7927;1.915;2.0054;2.0624;2.0987;2.135;2.1731;2.2142;2.2514;2.28;2.3351;2.3763;2.4104;2.4409;2.4693;2.496;2.5204;2.5414;2.5546;2.5566;2.5453;2.5156;2.4608;2.2124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EU;1.1457;0.9938;1.1061;1.1891;1.2524;1.2928;1.3183;1.3386;1.3549;1.3681;1.3984;1.4455;1.5025;1.5508;1.5938;1.633;1.6694;1.703;1.7337;1.7609;1.7848;1.8039;1.8151;1.8151;1.8;1.6746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAP;0.3698;0.382;0.384;0.3721;0.3467;0.3333;0.3263;0.319;0.3115;0.3042;0.3038;0.3096;0.3188;0.326;0.3322;0.3376;0.3427;0.3475;0.3518;0.3557;0.359;0.3614;0.3624;0.3614;0.3575;0.332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUS;0.431;0.4231;0.4432;0.4491;0.451;0.4515;0.4507;0.4477;0.4433;0.4379;0.4443;0.4624;0.4842;0.5035;0.5213;0.538;0.5538;0.5687;0.5824;0.5947;0.6041;0.6097;0.6106;0.6053;0.5917;0.517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EUR;0.2565;0.2333;0.2635;0.2853;0.302;0.314;0.3234;0.3311;0.3374;0.3425;0.3524;0.3674;0.3838;0.3984;0.4119;0.4243;0.4358;0.4462;0.4555;0.4633;0.4701;0.4753;0.4771;0.4741;0.4646;0.4069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CHI;1.5999;2.8421;3.2061;3.4256;3.5437;3.5857;3.6128;3.6247;3.6252;3.6153;3.6628;3.78;3.8642;3.9476;4.0276;4.1024;4.1706;4.2306;4.2804;4.3173;4.3451;4.3599;4.3464;4.2928;4.1853;3.6886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IND;0.405;0.7227;0.9514;1.1732;1.3871;1.5652;1.7177;1.8659;2.0098;2.1496;2.284;2.4125;2.5381;2.6529;2.7579;2.8534;2.9394;3.0155;3.0809;3.1344;3.1918;3.2548;3.3027;3.3263;3.3157;3.0655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MEST;0.5894;0.807;1.0438;1.274;1.4937;1.6735;1.8325;1.9955;2.1637;2.3382;2.4637;2.528;2.608;2.6711;2.7226;2.7655;2.8011;2.8297;2.8511;2.8642;2.8825;2.9064;2.9182;2.9099;2.8728;2.6201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFR;0.1913;0.2439;0.3537;0.4818;0.6258;0.7585;0.8775;1.0039;1.1377;1.279;1.3886;1.4586;1.5198;1.5747;1.6232;1.665;1.7001;1.7281;1.7488;1.7617;1.7761;1.793;1.8133;1.8224;1.8136;1.6743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAM;0.4121;0.5327;0.6757;0.8119;0.934;1.0346;1.1246;1.2114;1.2952;1.3762;1.4561;1.5329;1.6175;1.6919;1.7588;1.8195;1.8744;1.9238;1.9673;2.0042;2.043;2.0841;2.1167;2.1353;2.1345;1.9945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OHI;0.5416;0.5694;0.6199;0.65;0.6624;0.6597;0.6489;0.6377;0.6266;0.6159;0.6152;0.6236;0.6367;0.6467;0.6551;0.6625;0.6694;0.6757;0.6813;0.6858;0.6891;0.6904;0.6886;0.6823;0.67;0.6109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTH;0.3638;0.6305;0.8783;1.1508;1.4378;1.7038;1.9538;2.2117;2.4764;2.7471;2.9969;3.2256;3.4228;3.6146;3.7975;3.9688;4.1267;4.2695;4.3951;4.5012;4.6091;4.7207;4.8077;4.857;4.8545;4.5146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
