;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;2.2111;3.2607;4.1478;5.067;6.0172;6.9963;8.0499;9.1826;10.4085;11.6794;12.8573;14.93;16.3865;17.7812;19.1511;20.5169;21.8901;23.2772;24.682;26.1069;27.5294;28.9419;30.3643;31.8003;33.2529;34.7268;36.236;37.8639;39.5753;41.361;43.1401;44.8821;46.6413;48.4227;50.2295;52.0634;53.9262;55.8194;57.7446;59.7036;61.6981;63.7299;65.8009;67.9128;70.0675;72.2668;74.5123;76.8057;79.1487;81.5428;83.9896;86.4906;89.0473;91.661;94.3331;97.0651;99.8581;102.7135;105.6325;108.6163
EU;2.2733;3.2596;4.0693;4.8887;5.7076;6.5266;7.36;8.2099;9.0758;10.1713;11.414;13.1192;14.4404;15.7196;16.9779;18.2259;19.4689;20.7091;21.947;23.183;24.4328;25.7018;26.9768;28.2563;29.54;30.8309;32.1409;33.5625;35.0576;36.617;38.1481;39.6183;41.0923;42.5757;44.0718;45.5826;47.1094;48.6537;50.2167;51.7999;53.4048;55.0329;56.6857;58.3648;60.0717;61.8079;63.5747;65.3737;67.2061;69.0732;70.9764;72.9167;74.8954;76.9136;78.9724;81.0728;83.2159;85.4026;87.6339;89.9107
JAP;0.5849;0.7965;0.9143;0.9821;1.1129;1.2603;1.3916;1.5215;1.6509;1.8394;2.0616;2.4011;2.6482;2.8863;3.1207;3.3543;3.5888;3.8251;4.0636;4.3047;4.5504;4.8015;5.0569;5.3166;5.5808;5.8504;6.1274;6.4299;6.75;7.0862;7.4208;7.7471;8.077;8.4119;8.7526;9.0994;9.453;9.8135;10.1816;10.5576;10.9421;11.3355;11.7383;12.151;12.5743;13.0085;13.4543;13.9121;14.3825;14.8661;15.3634;15.8749;16.4012;16.9428;17.5004;18.0744;18.6656;19.2744;19.9014;20.5474
RUS;0.3243;0.4243;0.5095;0.5974;0.6929;0.7909;0.8851;0.9787;1.072;1.2146;1.3958;1.6367;1.8365;2.0367;2.2396;2.4465;2.6579;2.8742;3.0955;3.3219;3.5495;3.7767;4.0068;4.2402;4.4775;4.7194;4.9663;5.2304;5.5066;5.7938;6.0796;6.3594;6.6422;6.9291;7.2208;7.5179;7.8209;8.13;8.4457;8.7685;9.0987;9.4367;9.7831;10.1382;10.5025;10.8766;11.2608;11.6556;12.0615;12.479;12.9086;13.3507;13.8059;14.2748;14.7577;15.2552;15.768;16.2964;16.8412;17.4028
EUR;0.1573;0.2465;0.3345;0.4325;0.5414;0.6619;0.7906;0.9284;1.0751;1.2601;1.4806;1.7485;1.9978;2.2536;2.5162;2.7853;3.0602;3.3402;3.6247;3.9129;4.2121;4.5254;4.8464;5.1742;5.5083;5.849;6.1986;6.5694;6.9567;7.3593;7.7615;8.1569;8.5565;8.9615;9.3727;9.7908;10.2161;10.6494;11.0911;11.5418;12.002;12.4726;12.9541;13.4471;13.9524;14.4707;15.0027;15.5491;16.1107;16.6881;17.2821;17.8935;18.523;19.1714;19.8396;20.5282;21.2382;21.9704;22.7256;23.5047
CHI;1.9015;2.6946;3.6087;4.5576;5.5536;6.6602;7.8019;8.987;10.1876;11.7242;13.7561;15.2138;16.9338;18.6892;20.4546;22.2093;23.9352;25.6171;27.2417;28.7975;30.3297;31.8472;33.2954;34.6613;35.9352;37.1133;38.2046;39.3158;40.4077;41.4724;42.4018;43.1735;43.877;44.5168;45.0966;45.618;46.0819;46.4887;46.8388;47.1324;47.3699;47.5517;47.6781;47.7498;47.7674;47.7319;47.6444;47.5064;47.3198;47.0871;46.8113;46.4961;46.1461;45.7671;45.3659;44.9505;44.5308;44.1182;43.7265;43.3718
IND;0.7162;1.2286;1.8643;2.6432;3.5136;4.4923;5.622;6.8966;8.3218;9.8977;11.6263;13.5612;15.479;17.4441;19.4445;21.4664;23.4963;25.521;27.5287;29.5092;31.6321;33.9638;36.3603;38.7964;41.2567;43.7365;46.2565;48.9643;51.7972;54.7356;57.6593;60.5163;63.3761;66.2411;69.1119;71.9887;74.8716;77.7615;80.6597;83.5679;86.4879;89.4219;92.372;95.3404;98.329;101.34;104.3751;107.4359;110.5239;113.6405;116.7866;119.9633;123.1712;126.4109;129.6827;132.9868;136.3231;139.6914;143.0913;146.5222
MEST;0.8914;1.436;2.0825;2.836;3.6362;4.5281;5.5604;6.7357;8.0707;9.2804;10.2657;11.8353;13.0644;14.2472;15.3974;16.5211;17.6206;18.6962;19.7475;20.774;21.8905;23.1382;24.4246;25.7368;27.0683;28.4188;29.7961;31.3007;32.8885;34.5489;36.2139;37.8558;39.5168;41.1998;42.9064;44.638;46.3958;48.1815;49.9968;51.8438;53.7247;55.642;57.598;59.5952;61.6363;63.7236;65.8598;68.0474;70.289;72.587;74.944;77.3625;79.845;82.3942;85.0124;87.7024;90.4666;93.3078;96.2284;99.2313
AFR;0.3858;0.7413;1.2481;1.9465;2.7654;3.7067;4.8825;6.2938;7.9644;9.5537;11.0401;12.5695;14.1663;15.7744;17.3727;18.9425;20.4675;21.9339;23.3307;24.6495;26.0352;27.5364;29.2295;30.9515;32.6761;34.3918;36.1303;37.9943;39.9463;41.9689;43.967;45.9021;47.8283;49.7455;51.6533;53.5511;55.4389;57.3171;59.1867;61.0489;62.9054;64.7579;66.6081;68.4579;70.309;72.1631;74.0216;75.8859;77.7574;79.6372;81.5262;83.4253;85.3352;87.2565;89.1896;91.1349;93.0924;95.0624;97.0447;99.0391
LAM;1.0729;1.6901;2.366;3.102;3.8821;4.7433;5.6883;6.7182;7.838;9.0642;10.3299;12.0668;13.5361;14.9929;16.4461;17.8983;19.3487;20.7954;22.2358;23.6674;25.2054;26.8948;28.6433;30.4377;32.271;34.1425;36.0557;38.1081;40.2572;42.4941;44.7176;46.8879;49.0755;51.2887;53.5322;55.8095;58.1234;60.4767;62.872;65.3124;67.8009;70.3406;72.9348;75.5866;78.2995;81.0767;83.9216;86.8376;89.8279;92.8961;96.0455;99.2795;102.6015;106.0149;109.5233;113.1302;116.839;120.6535;124.5772;128.6138
