;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;22.8511;30.0786;43.0945;56.5037;70.3717;84.7089;99.4988;115.1917;131.9907;150.1071;169.133;187.55;214.6901;238.7232;261.0501;282.5337;303.682;324.788;346.0187;367.4697;389.1973;410.9984;432.7251;454.5246;476.4859;498.6694;521.1431;544.0709;568.3445;593.9228;620.698;647.8251;674.7041;701.6676;728.8838;756.4409;784.3889;812.7616;841.5864;870.8891;900.696;931.0339;961.9303;993.4129;1025.5097;1058.2484;1091.6562;1125.7598;1160.5852;1196.1579;1232.5027;1269.6435;1307.6037;1346.406;1386.0727;1426.6251;1468.0842;1510.4704;1553.8036;1598.103
EU;23.30228;30.8579;43.3551;55.8102;68.3465;80.9066;93.4768;106.1936;119.1265;132.2952;147.8414;165.6888;188.9642;210.2918;230.5199;250.1559;269.4832;288.6522;307.7373;326.7718;345.7681;364.8894;384.2468;403.7471;423.3413;443.0102;462.7775;482.7694;503.9561;526.2951;549.678;573.1424;596.0251;618.7437;641.4996;664.3954;687.4863;710.806;734.3796;758.2294;782.3773;806.8461;831.6587;856.8387;882.4095;908.3944;934.8164;961.6977;989.0602;1016.9249;1045.312;1074.2413;1103.7317;1133.8015;1164.4682;1195.749;1227.6602;1260.2177;1293.4369;1327.3326
JAP;7.13349;8.3367;10.8723;12.9341;14.3305;16.1254;18.2252;20.2711;22.2834;24.2787;26.8593;29.9808;34.465;38.4994;42.2867;45.9511;49.5653;53.1707;56.7905;60.4379;64.1207;67.8617;71.6774;75.5614;79.5123;83.5322;87.63;91.8291;96.3174;101.0841;106.1082;111.2061;116.246;121.3027;126.415;131.6039;136.8818;142.2573;147.7374;153.329;159.0389;164.8744;170.8429;176.9521;183.2099;189.6241;196.203;202.9545;209.887;217.0085;224.3274;231.8521;239.5908;247.552;255.7444;264.1765;272.857;281.795;290.9994;300.4794
RUS;2.78711;4.2152;5.7125;7.0868;8.4454;9.8738;11.3515;12.8089;14.2530;15.6894;17.6163;20.1002;23.3760;26.5158;29.6123;32.7212;35.8740;39.0878;42.3715;45.7295;49.1642;52.6376;56.1210;59.6360;63.1960;66.8105;70.4891;74.2408;78.1906;82.3289;86.6441;91.0072;95.3263;99.6598;104.0397;108.4845;113.0056;117.6113;122.3086;127.1038;132.0033;137.0134;142.1408;147.3922;152.7745;158.2947;163.9597;169.7767;175.7531;181.8960;188.2130;194.7113;201.3987;208.2827;215.3712;222.6721;230.1934;237.9433;245.9302;254.1626
EUR;1.36247;2.048;3.1794;4.4531;5.878;7.4637;9.2212;11.1214;13.1618;15.3405;17.9499;21.0651;24.8296;28.6355;32.5208;36.5016;40.5803;44.7516;49.0063;53.3343;57.7252;62.2488;66.9589;71.8116;76.7815;81.8554;87.0309;92.3322;97.8885;103.6991;109.7511;115.8829;121.9751;128.095;134.2789;140.5473;146.9134;153.387;159.9767;166.6912;173.5392;180.5298;187.6728;194.9781;202.4557;210.1163;217.9705;226.029;234.3029;242.8031;251.541;260.5278;269.7752;279.2947;289.0983;299.1981;309.6062;320.3352;331.3979;342.8073
CHI;9.26094;22.2442;34.7017;48.1866;62.378;77.286;93.5498;110.6376;128.447;146.6628;168.3799;196.2714;220.5738;246.2471;272.7532;299.6496;326.5738;353.2214;379.332;404.6818;429.0788;452.9079;476.3914;499.0615;520.6245;540.883;559.7268;577.2109;594.4186;611.3375;627.8845;642.9481;655.9168;667.4738;677.9018;687.3355;695.839;703.443;710.1626;716.0064;720.9803;725.0896;728.3399;730.7375;732.2902;733.0079;732.9029;731.9912;730.2934;727.8358;724.6516;720.783;716.2821;711.2135;705.6562;699.7057;693.4772;687.1081;680.7618;674.6321
IND;4.11919;8.5986;15.2845;23.9719;34.7909;47.2671;61.4035;77.6297;96.0337;116.7025;139.6682;164.9621;193.1312;222.1307;251.8936;282.2747;313.0874;344.1295;375.2003;406.1117;436.6947;468.587;503.0245;538.9969;575.9002;613.371;651.2339;689.6366;730.1039;772.543;816.7246;861.367;905.5032;949.4902;993.4777;1037.5236;1081.6488;1125.8636;1170.1797;1214.6139;1259.1886;1303.931;1348.8715;1394.0424;1439.4761;1485.2047;1531.259;1577.6678;1624.4576;1671.6525;1719.2737;1767.3397;1815.866;1864.8653;1914.3472;1964.3187;2014.7834;2065.7425;2117.194;2169.1331
MEST;5.41607;10.8021;18.1267;27.1452;37.8255;49.5504;62.5581;77.4163;94.3506;113.6053;132.4155;148.8274;170.2458;190.0053;208.7228;226.7511;244.2744;261.3794;278.0996;294.4428;310.4063;327.1374;345.4476;364.6958;384.5293;404.7599;425.3191;446.2605;468.6088;492.2785;517.1361;542.4532;567.6995;593.1123;618.8032;644.8276;671.2174;697.9972;725.1913;752.8263;780.9321;809.5415;838.6895;868.4129;898.7493;929.7373;961.4155;993.8231;1026.999;1060.9821;1095.8113;1131.5255;1168.1633;1205.7637;1244.3656;1284.0079;1324.7299;1366.5712;1409.5716;1453.7714
AFR;2.13475;4.6023;9.0178;15.625;24.9129;36.341;49.7385;66.1678;86.0092;109.6332;133.7642;157.0417;180.4516;204.5822;229.0772;253.6016;277.8508;301.5553;324.4846;346.4476;367.2935;388.4196;410.7974;435.5313;461.375;487.6322;513.9451;540.5046;568.405;597.6539;628.0784;658.6679;688.684;718.4118;747.9497;777.3269;806.5485;835.6153;864.5322;893.3104;921.9671;950.5239;979.0058;1007.4394;1035.8517;1064.2695;1092.7185;1121.2231;1149.8057;1178.4868;1207.2849;1236.2162;1265.295;1294.5333;1323.9409;1353.5259;1383.294;1413.2491;1443.3934;1473.7269
LAM;7.69296;13.4115;21.577;31.1839;41.8935;53.4285;66.0623;79.9172;95.0474;111.5211;129.5271;148.4619;172.4336;195.4849;218.0905;240.5045;262.8415;285.1346;307.3747;329.5331;351.5755;374.641;399.5771;425.7572;452.8292;480.6018;509.0007;538.0344;568.6825;600.859;634.4475;668.3942;701.9334;735.504;769.3409;803.5745;838.2841;873.5257;909.3462;945.7898;982.901;1020.7258;1059.3115;1098.7069;1138.9616;1180.1262;1222.2515;1265.3888;1309.5894;1354.9051;1401.3875;1449.0887;1498.0608;1548.3562;1600.0276;1653.1283;1707.7119;1763.8326;1821.5453;1880.9054
OHI;6.87039;9.5689;13.6499;17.7231;21.6436;25.3934;28.9941;32.58;36.178;39.7922;44.1297;49.1818;55.7374;61.6828;67.2744;72.6657;77.9428;83.1515;88.3146;93.4427;98.5394;103.6251;108.7121;113.7876;118.8446;123.8806;128.9031;133.945;139.2802;144.8952;150.7588;156.6168;162.2981;167.9147;173.5188;179.1362;184.7798;190.4568;196.1724;201.9307;207.7358;213.5918;219.5029;225.4733;231.5072;237.6085;243.781;250.0283;256.3537;262.7603;269.2509;275.8279;282.4935;289.2497;296.0982;303.0404;310.0775;317.2103;324.4395;331.7654
OTH;6.87039;9.5689;13.6499;17.7231;21.6436;25.3934;28.9941;32.58;36.178;39.7922;44.1297;49.1818;55.7374;61.6828;67.2744;72.6657;77.9428;83.1515;88.3146;93.4427;98.5394;103.6251;108.7121;113.7876;118.8446;123.8806;128.9031;133.945;139.2802;144.8952;150.7588;156.6168;162.2981;167.9147;173.5188;179.1362;184.7798;190.4568;196.1724;201.9307;207.7358;213.5918;219.5029;225.4733;231.5072;237.6085;243.781;250.0283;256.3537;262.7603;269.2509;275.8279;282.4935;289.2497;296.0982;303.0404;310.0775;317.2103;324.4395;331.7654
