;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
US;0;0.009328;0.007646;0.00576;0.004318;0.002463;0.001346;0.001346;0.001346;0.001346;0.001035;0.000724;0.000724;0.000724;0.000724;0.000724;0.000724;0.000724;0.000724;0.000724;0.000601;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000239
EU;0;0.004346;0.002358;0.000966;-0.000001;-0.001551;-0.002382;-0.002382;-0.002382;-0.002382;-0.000971;0.00044;0.00044;0.00044;0.00044;0.00044;0.00044;0.00044;0.00044;0.00044;0.000534;0.000628;0.000628;0.000628;0.000628;0.000628;0.000628;0.000628;0.000628;0.000628;0.000314
JAP;0;-0.001309;-0.004054;-0.006022;-0.007287;-0.00593;-0.003988;-0.003988;-0.003988;-0.003988;-0.001741;0.000506;0.000506;0.000506;0.000506;0.000506;0.000506;0.000506;0.000506;0.000506;0.000561;0.000617;0.000617;0.000617;0.000617;0.000617;0.000617;0.000617;0.000617;0.000617;0.000308
RUS;0;-0.00369;-0.004172;-0.005401;-0.005146;-0.004986;-0.004868;-0.004868;-0.004868;-0.004868;-0.002;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000709;0.00055;0.00055;0.00055;0.00055;0.00055;0.00055;0.00055;0.00055;0.00055;0.000275
EUR;0;0.00114;0.000945;-0.000909;-0.001823;-0.002961;-0.003297;-0.003297;-0.003297;-0.003297;-0.001649;0;0;0;0;0;0;0;0;0;0.000267;0.000534;0.000534;0.000534;0.000534;0.000534;0.000534;0.000534;0.000534;0.000534;0.000267
CHI;0;0.006186;0.004012;0.000632;-0.00152;-0.003289;-0.003325;-0.003325;-0.003325;-0.003325;-0.001582;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000161;0.000421;0.00068;0.00068;0.00068;0.00068;0.00068;0.00068;0.00068;0.00068;0.00068;0.00034
IND;0;0.013512;0.010068;0.006532;0.004227;0.000755;-0.000978;-0.000978;-0.000978;-0.000978;-0.001046;-0.001115;-0.001115;-0.001115;-0.001115;-0.001115;-0.001115;-0.001115;-0.001115;-0.001115;-0.000306;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502;0.000251
MEST;0;0.019035;0.015401;0.011887;0.009145;0.005209;0.003468;0.003468;0.003468;0.003468;0.001212;-0.001044;-0.001044;-0.001044;-0.001044;-0.001044;-0.001044;-0.001044;-0.001044;-0.001044;-0.00029;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000232
AFR;0;0.021463;0.018421;0.015284;0.012573;0.006955;0.003464;0.003464;0.003464;0.003464;0.000654;-0.002156;-0.002156;-0.002156;-0.002156;-0.002156;-0.002156;-0.002156;-0.002156;-0.002156;-0.001324;-0.000493;0.000507;0.000507;0.000507;0.000507;0.000507;0.000507;0.000507;0.000507;0.000254
LAM;0;0.010562;0.007933;0.005327;0.00274;0.000004;-0.00094;-0.00094;-0.00094;-0.00094;-0.000837;-0.000734;-0.000734;-0.000734;-0.000734;-0.000734;-0.000734;-0.000734;-0.000734;-0.000734;-0.000068;0.000597;0.000597;0.000597;0.000597;0.000597;0.000597;0.000597;0.000597;0.000597;0.000299
OHI;0;0.007274;0.005338;0.003152;0.000923;-0.001343;-0.002563;-0.002563;-0.002563;-0.002563;-0.001021;0.000522;0.000522;0.000522;0.000522;0.000522;0.000522;0.000522;0.000522;0.000522;0.000563;0.000603;0.000603;0.000603;0.000603;0.000603;0.000603;0.000603;0.000603;0.000603;0.000302
OTH;0;0.014276;0.011656;0.008937;0.006443;0.002685;0.000747;0.000747;0.000747;0.000747;-0.000145;-0.001036;-0.001036;-0.001036;-0.001036;-0.001036;-0.001036;-0.001036;-0.001036;-0.001036;-0.000272;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000492;0.000246
