;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
US;12.3979;15.9733;20.6995;25.5948;30.6525;35.6596;40.6455;45.9084;51.4701;57.3515;63.3648;69.3004;76.2983;83.0563;89.7484;96.4730;103.2867;110.2228;117.3019;124.5381;131.8282;139.1381;146.5657;154.1320;161.8526;169.7404;177.8099;186.0856;194.6675;203.5605;212.4074;221.0854;229.8815;238.8378;247.9795;257.3235;266.8832;276.6703;286.6961;296.9718;307.5090;318.3192;329.4144;340.8068;352.5088;364.5329;376.8918;389.5984;402.6659;416.1075;429.9367;444.1672;458.8128;473.8878;489.4064;505.3834;521.8336;538.7722;556.2147;574.1771;574.1771
EU;13.0311;16.3807;20.8178;25.2814;29.7865;34.1001;38.2624;42.4478;46.6467;50.8441;55.8142;61.672;68.2432;74.7047;81.1565;87.653;94.2228;100.8808;107.6345;114.4882;121.5248;128.7785;136.1898;143.7538;151.4711;159.3458;167.3873;175.6167;184.1487;192.9886;201.6909;210.1011;218.5782;227.1757;235.9233;244.8401;253.94;263.2348;272.7354;282.4527;292.3975;302.5811;313.0146;323.7097;334.6781;345.9317;357.4826;369.343;381.5252;394.0416;406.905;420.1281;433.7239;447.7056;462.0865;476.8802;492.1005;507.7615;523.8774;540.4627;540.4627
JAP;3.8703;4.4256;5.2201;5.8566;6.2402;6.7871;7.4448;8.0799;8.6926;9.2826;10.0726;11.0897;12.2747;13.4272;14.5719;15.7226;16.8869;18.0692;19.2721;20.4972;21.7544;23.0481;24.3728;25.7290;27.1176;28.5399;29.9984;31.4968;33.0560;34.6766;36.2796;37.8374;39.4129;41.0153;42.6499;44.3203;46.0293;47.7792;49.5723;51.4108;53.2971;55.2334;57.2221;59.2658;61.3669;63.5279;65.7516;68.0405;70.3974;72.8250;75.3261;77.9036;80.5605;83.2997;86.1242;89.0373;92.0421;95.1420;98.3402;101.6402;101.6402
RUS;1.698;2.247;2.7569;3.2282;3.7025;4.1872;4.6754;5.1515;5.6133;6.0584;6.6733;7.4975;8.4326;9.3745;10.3339;11.3167;12.3259;13.363;14.4289;15.524;16.6305;17.741;18.8705;20.0217;21.1967;22.3971;23.625;24.8823;26.1825;27.5261;28.8575;30.1573;31.4705;32.8043;34.163;35.5497;36.9667;38.4161;39.9;41.4201;42.9785;44.5772;46.2182;47.9036;49.6355;51.416;53.2474;55.1319;57.0718;59.0693;61.127;63.2471;65.4321;67.6846;70.0072;72.4024;74.8731;77.4219;80.0517;82.7655;82.7655
EUR;0.8073;1.0932;1.5359;2.0296;2.5769;3.163;3.7927;4.463;5.1679;5.9009;6.7665;7.7961;8.9323;10.1043;11.3136;12.5592;13.8387;15.149;16.487;17.8499;19.2711;20.7648;22.3023;23.8793;25.4932;27.1432;28.8296;30.5558;32.3357;34.1704;35.9926;37.7776;39.5791;41.4052;43.2612;45.1505;47.0762;49.0409;51.0472;53.0977;55.1951;57.3422;59.5418;61.7968;64.1102;66.4849;68.9242;71.4311;74.0088;76.6605;79.3896;82.1994;85.0934;88.0751;91.148;94.3158;97.5822;100.951;104.4263;108.0119;108.0119
CHI;5.3332;11.9405;16.8902;22.1776;27.6885;33.2651;39.217;45.4332;51.8494;58.3758;66.1276;75.6463;85.056;94.9067;105.1099;115.59;126.2837;137.1364;148.1013;159.1381;170.5215;182.3503;194.3584;206.4862;218.6951;230.9581;243.2592;255.6041;268.139;280.8708;293.0987;304.5859;315.9148;327.1818;338.4296;349.681;360.949;372.2416;383.5644;394.9215;406.3162;417.7511;429.2284;440.7497;452.3163;463.9292;475.5893;487.2974;499.055;510.8638;522.7269;534.6491;546.6374;558.7022;570.858;583.1251;595.5304;608.1101;620.9113;633.9945;633.9945
IND;2.4408;4.6005;7.4063;10.9739;15.3438;20.1863;25.498;31.5131;38.221;45.6009;53.5922;62.1422;71.2843;80.7427;90.4683;100.4047;110.4939;120.6802;130.9123;141.1448;152.1977;164.4146;177.1223;190.21;203.6111;217.2869;231.2206;245.4322;260.0912;275.1965;290.2233;304.9657;319.8157;334.8232;350.0161;365.4136;381.031;396.8834;412.9861;429.3553;446.0081;462.9625;480.237;497.8502;515.8215;534.1701;552.9153;572.0766;591.6732;611.7245;632.2497;653.268;674.7986;696.8604;719.4726;742.654;766.4236;790.8003;815.803;841.4505;841.4505
MEST;3.4801;5.767;8.7639;12.3976;16.6423;21.1117;25.9192;31.3619;37.4838;44.3286;50.7813;56.3201;62.4732;68.4708;74.3771;80.2213;86.0137;91.7554;97.4435;103.0739;109.2179;116.0929;123.2463;130.6138;138.1617;145.8743;153.7494;161.7989;170.1411;178.7745;187.3882;195.8684;204.4555;213.1827;222.07;231.1313;240.3781;249.8216;259.4726;269.3429;279.4443;289.7895;300.3912;311.2628;322.4178;333.8699;345.6333;357.7221;370.1509;382.9343;396.0873;409.625;423.5629;437.9166;452.7023;467.9363;483.6352;499.8161;516.4965;533.6942;533.6942
AFR;1.3005;2.4568;4.3590;7.1362;10.9653;15.4982;20.6420;26.8735;34.2999;43.0203;51.6737;59.5951;67.7113;76.0380;84.4851;92.9695;101.4161;109.7594;117.9435;125.9223;134.4392;143.7794;154.3860;165.4458;176.8196;188.4276;200.2291;212.2491;224.6218;237.3572;250.0000;262.3711;274.8123;287.3663;300.0545;312.8904;325.8853;339.0502;352.3970;365.9387;379.6891;393.6628;407.8752;422.3418;437.0785;452.1014;467.4266;483.0701;499.0480;515.3763;532.0707;549.1472;566.6214;584.5090;602.8254;621.5863;640.8070;660.5029;680.6894;701.3818;701.3818
LAM;4.5585;7.1173;10.3554;14.1127;18.2299;22.4679;26.9555;31.81;37.0141;42.5488;48.4419;54.611;61.444;68.2642;75.1123;82.0011;88.9283;95.8848;102.8592;109.8402;117.3636;125.6455;134.2617;143.1512;152.2818;161.6384;171.219;181.0312;191.1813;201.6691;212.0483;222.1565;232.3484;242.6773;253.1756;263.8657;274.7651;285.8891;297.2523;308.8692;320.7548;332.9242;345.3927;358.1763;371.2911;384.7533;398.5797;412.7872;427.393;442.4145;457.8694;473.7758;490.1521;507.0168;524.3892;542.2886;560.735;579.7486;599.3501;619.5609;619.5609
OHI;3.842;5.0941;6.5771;8.0613;9.4773;10.7609;11.9408;13.1121;14.2739;15.4226;16.8159;18.4913;20.3662;22.203;24.0324;25.8716;27.7297;29.6117;31.5203;33.4571;35.4332;37.4536;39.5113;41.6064;43.7397;45.9126;48.1278;50.3911;52.7357;55.1631;57.5509;59.8574;62.1815;64.538;66.935;69.3773;71.8687;74.4122;77.0105;79.6663;82.3824;85.1616;88.0066;90.9203;93.9057;96.9657;100.1032;103.3212;106.6228;110.0109;113.4886;117.0589;120.725;124.4899;128.3569;132.3291;136.4096;140.6019;144.9091;149.3346;149.3346
OTH;2.6192;4.1793;6.9275;10.6423;15.3799;20.831;27.0061;34.2255;42.5294;51.9434;61.9492;72.4246;82.9996;94.1758;105.819;117.8104;130.0438;142.4242;154.8661;167.2937;180.6026;195.1573;210.1757;225.5032;241.0339;256.6908;272.4191;288.1823;304.1854;320.3928;336.1852;351.322;366.2446;381.0015;395.6088;410.0693;424.3792;438.5308;452.5141;466.3169;479.9251;493.3218;506.4879;519.4012;532.0368;544.3669;556.3614;567.9882;579.215;590.011;600.35;610.2152;619.6059;628.5471;637.1029;645.3942;653.6229;662.1019;671.2941;681.8597;681.8597
