;2015;2025;2035;2045;2055;2065;2075;2085;2095;2105;2115;2125;2135;2145;2155;2165;2175;2185;2195;2205;2215;2225;2235;2245;2255;2265;2275;2285;2295;2305;2315;2325;2335;2345;2355;2365;2375;2385;2395;2405;2415;2425;2435;2445;2455;2465;2475;2485;2495;2505;2515;2525;2535;2545;2555;2565;2575;2585;2595;2605
US;0;0.0106;0.0098;0.0091;0.0084;0.0078;0.0073;0.0068;0.0064;0.006;0.0057;0.0053;0.0051;0.0048;0.0046;0.0043;0.0042;0.004;0.0038;0.0037;0.0035;0.0034;0.0033;0.0032;0.0031;0.0031;0.003;0.0029;0.0029;0.0028;0.0028;0.0027;0.0027;0.0026;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0023;0.0023;0.0023;0.0023;0.0023
EU;0;0.0114;0.0121;0.0112;0.0103;0.0095;0.0089;0.0082;0.0077;0.0071;0.0067;0.0063;0.0059;0.0055;0.0052;0.0049;0.0047;0.0045;0.0043;0.0041;0.0039;0.0037;0.0036;0.0035;0.0034;0.0033;0.0032;0.0031;0.003;0.0029;0.0029;0.0028;0.0028;0.0027;0.0027;0.0027;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0023;0.0023;0.0023
JAP;0;0.0096;0.0114;0.0105;0.0097;0.009;0.0084;0.0078;0.0073;0.0068;0.0064;0.006;0.0056;0.0053;0.005;0.0048;0.0045;0.0043;0.0041;0.0039;0.0038;0.0036;0.0035;0.0034;0.0033;0.0032;0.0031;0.003;0.003;0.0029;0.0028;0.0028;0.0027;0.0027;0.0027;0.0026;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0023;0.0023;0.0023;0.0023
RUS;0;0.0182;0.0143;0.0131;0.012;0.0111;0.0103;0.0095;0.0088;0.0082;0.0076;0.0071;0.0066;0.0062;0.0058;0.0055;0.0052;0.0049;0.0046;0.0044;0.0042;0.004;0.0039;0.0037;0.0036;0.0035;0.0033;0.0032;0.0032;0.0031;0.003;0.0029;0.0029;0.0028;0.0028;0.0027;0.0027;0.0026;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0023;0.0023
EUR;0;0.0173;0.0201;0.0184;0.0168;0.0154;0.0141;0.013;0.0119;0.011;0.0101;0.0094;0.0087;0.008;0.0075;0.007;0.0065;0.0061;0.0057;0.0054;0.0051;0.0048;0.0046;0.0044;0.0042;0.004;0.0038;0.0037;0.0035;0.0034;0.0033;0.0032;0.0031;0.003;0.003;0.0029;0.0028;0.0028;0.0027;0.0027;0.0027;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024
CHI;0;0.05;0.0185;0.0169;0.0155;0.0142;0.0131;0.012;0.0111;0.0102;0.0094;0.0087;0.0081;0.0075;0.007;0.0066;0.0062;0.0058;0.0054;0.0051;0.0049;0.0046;0.0044;0.0042;0.004;0.0038;0.0037;0.0036;0.0034;0.0033;0.0032;0.0031;0.0031;0.003;0.0029;0.0029;0.0028;0.0028;0.0027;0.0027;0.0026;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024
IND;0;0.0318;0.0233;0.0212;0.0194;0.0177;0.0162;0.0148;0.0136;0.0125;0.0115;0.0106;0.0098;0.009;0.0084;0.0078;0.0072;0.0068;0.0063;0.0059;0.0056;0.0053;0.005;0.0047;0.0045;0.0043;0.0041;0.0039;0.0037;0.0036;0.0035;0.0034;0.0033;0.0032;0.0031;0.003;0.0029;0.0029;0.0028;0.0028;0.0027;0.0027;0.0026;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024
MEST;0;0.0165;0.0155;0.0143;0.0131;0.012;0.0111;0.0102;0.0095;0.0088;0.0081;0.0076;0.0071;0.0066;0.0062;0.0058;0.0055;0.0052;0.0049;0.0046;0.0044;0.0042;0.004;0.0039;0.0037;0.0036;0.0034;0.0033;0.0032;0.0031;0.0031;0.003;0.0029;0.0029;0.0028;0.0028;0.0027;0.0027;0.0026;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0023
AFR;0;0.0255;0.0243;0.0221;0.0202;0.0184;0.0168;0.0154;0.0141;0.0129;0.0119;0.011;0.0101;0.0093;0.0087;0.008;0.0075;0.007;0.0065;0.0061;0.0057;0.0054;0.0051;0.0048;0.0046;0.0043;0.0041;0.004;0.0038;0.0037;0.0035;0.0034;0.0033;0.0032;0.0031;0.003;0.003;0.0029;0.0028;0.0028;0.0027;0.0027;0.0027;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024
LAM;0;0.0205;0.0177;0.0162;0.0148;0.0136;0.0125;0.0115;0.0106;0.0098;0.0091;0.0084;0.0078;0.0073;0.0068;0.0064;0.006;0.0056;0.0053;0.005;0.0047;0.0045;0.0043;0.0041;0.0039;0.0038;0.0036;0.0035;0.0034;0.0033;0.0032;0.0031;0.003;0.0029;0.0029;0.0028;0.0028;0.0027;0.0027;0.0027;0.0026;0.0026;0.0026;0.0025;0.0025;0.0025;0.0025;0.0025;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024;0.0024
