;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;41766;48570;55853;63579;71711;80214;89052;98194;107609;117272;127160;137254;147538;158002;168637;179438;190403;201533;212831;224302;235953;247792;259831;272081;284554;297264;310226;323456;336968;350780;364909;379373;394190;409378;424957;440947;457367;474238;491580;509415;527764;546650;566096;586125;606759;628025;649947;672550;695860;719905;744712;770309;796726;823992;852139;881198;911202;942184;974179;1007223
EU;26590;31297;37212;43653;50587;57981;65796;73996;82544;91405;100548;109943;119566;129396;139415;149610;159970;170490;181166;191997;202985;214135;225453;236947;248626;260502;272586;284893;297435;310229;323290;336633;350277;364237;378533;393181;408202;423613;439434;455686;472388;489561;507227;525406;544121;563394;583249;603708;624796;646538;668959;692085;715943;740560;765963;792183;819248;847190;876040;905829
JAP;30290;34767;40906;47534;54617;62122;70011;78249;86802;95638;104729;114049;123578;133296;143192;153252;163471;173845;184371;195051;205889;216890;228062;239413;250954;262696;274652;286835;299260;311941;324895;338137;351685;365555;379765;394333;409278;424618;440372;456561;473205;490323;507937;526068;544738;563969;583784;604207;625261;646971;669362;692460;716292;740885;766266;792465;819511;847434;876267;906040
RUS;11861;15381;18854;22733;27003;31645;36636;41950;47561;53441;59563;65902;72437;79146;86011;93019;100157;107416;114789;122272;129862;137561;145370;153291;161331;169494;177789;186223;194805;203545;212453;221540;230817;240296;249988;259907;270065;280475;291151;302105;313352;324907;336782;348994;361557;374487;387799;401509;415634;430190;445195;460666;476621;493078;510057;527578;545659;564322;583587;603478
EUR;5177;6628;8838;11495;14617;18214;22285;26818;31796;37195;42986;49138;55619;62397;69441;76724;84218;91900;99752;107757;115903;124178;132577;141095;149731;158486;167362;176364;185498;194772;204193;213773;223521;233449;243568;253892;264433;275206;286223;297499;309050;320889;333032;345494;358292;371442;384960;398863;413167;427892;443054;458671;474763;491348;508447;526078;544263;563022;582378;602352
CHI;4088;8349;10879;13859;17297;21194;25540;30319;35509;41082;47008;53257;59798;66602;73639;80885;88318;95918;103668;111557;119575;127713;135969;144340;152827;161432;170159;179015;188005;197139;206426;215876;225499;235307;245312;255528;265966;276641;287566;298755;310224;321986;334056;346451;359185;372275;385736;399587;413842;428521;443640;459217;475272;491822;508888;526489;544645;563378;582709;602660
IND;2230;3515;4903;6642;8762;11284;14221;17576;21345;25515;30067;34978;40220;45766;51587;57656;63945;70431;77091;83908;90865;97949;105150;112460;119876;127395;135016;142740;150572;158515;166577;174763;183083;191545;200158;208934;217882;227015;236343;245880;255637;265627;275863;286358;297126;308181;319537;331207;343208;355553;368257;381337;394807;408685;422987;437729;452929;468605;484774;501457
MEST;8431;10668;13320;16327;19684;23379;27394;31710;36304;41151;46229;51514;56986;62623;68409;74329;80369;86520;92774;99125;105569;112105;118733;125455;132273;139193;146218;153357;160614;168000;175520;183186;191005;198988;207145;215487;224023;232765;241724;250912;260341;270022;279968;290190;300703;311518;322649;334109;345912;358073;370606;383525;396846;410584;424755;439375;454462;470032;486103;502693
AFR;1703;2453;3470;4758;6346;8254;10496;13078;15998;19249;22816;26683;30828;35230;39864;44708;49740;54939;60286;65767;71365;77071;82874;88768;94749;100813;106960;113191;119506;125911;132408;139005;145706;152520;159453;166514;173712;181055;188553;196215;204052;212073;220290;228713;237352;246219;255325;264682;274302;284195;294376;304855;315646;326762;338216;350022;362193;374744;387689;401044
LAM;8208;10998;14159;17840;22048;26777;32013;37732;43905;50502;57486;64822;72476;80414;88606;97025;105647;114451;123422;132545;141812;151216;160753;170423;180228;190171;200258;210496;220895;231463;242212;253155;264304;275672;287274;299125;311239;323632;336321;349322;362650;376325;390362;404781;419598;434832;450503;466630;483231;500328;517940;536089;554796;574084;593974;614489;635654;657493;680031;703293
OHI;29744;35906;42110;48791;55916;63449;71356;79600;88150;96974;106044;115338;124834;134515;144369;154386;164560;174886;185364;195997;206787;217742;228867;240174;251671;263372;275288;287433;299821;312468;325388;338600;352117;365959;380143;394687;409608;424926;440660;456830;473455;490557;508155;526271;544927;564145;583948;604360;625403;647104;669486;692575;716399;740984;766359;792551;819591;847509;876336;906105
OTH;2795;3696;5225;7162;9549;12417;15785;19662;24047;28927;34282;40085;46305;52909;59861;67128;74676;82474;90495;98714;107110;115667;124370;133209;142178;151272;160490;169833;179304;188909;198653;208545;218596;228814;239212;249801;260596;271609;282854;294346;306099;318130;330454;343087;356045;369344;383003;397037;411465;426305;441574;457293;473479;490152;507332;525040;543296;562122;581540;601572
