;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;195.438;190.8;184.919;174.017;160.405;144.544;128.378;113.74;100.577;88.815;78.114;68.27;59.802;52.299;45.69;39.886;34.8;30.348;26.455;23.054;20.061;17.43;15.141;13.149;11.418;9.912;8.605;7.47;6.484;5.628;4.874;4.21;3.636;3.14;2.712;2.341;2.021;1.745;1.506;1.3;1.122;0.969;0.836;0.722;0.623;0.537;0.464;0.4;0.345;0.298;0.257;0.222;0.191;0.165;0.142;0.123;0.106;0.091;0.079;0.491
EU;280.738;266.537;251.118;229.09;204.795;178.998;154.337;132.54;113.471;96.83;83.663;73.14;64.017;55.926;48.793;42.529;37.04;32.239;28.045;24.385;21.214;18.466;16.07;13.981;12.16;10.575;9.195;7.995;6.952;6.045;5.239;4.526;3.91;3.377;2.917;2.519;2.175;1.878;1.621;1.399;1.208;1.043;0.9;0.777;0.67;0.579;0.499;0.431;0.372;0.321;0.277;0.239;0.206;0.178;0.153;0.132;0.114;0.098;0.085;0.529
JAP;77.344;68.11;59.708;50.581;41.574;34.633;29.333;24.754;20.832;17.473;14.969;13.08;11.459;10.017;8.745;7.627;6.647;5.79;5.04;4.386;3.818;3.323;2.892;2.517;2.189;1.904;1.656;1.44;1.253;1.089;0.944;0.816;0.705;0.609;0.526;0.454;0.392;0.339;0.293;0.253;0.218;0.188;0.163;0.14;0.121;0.105;0.09;0.078;0.067;0.058;0.05;0.043;0.037;0.032;0.028;0.024;0.021;0.018;0.015;0.096
RUS;50.681;53.422;50.517;45.131;39.467;34.091;29.197;24.807;20.954;17.585;15.141;13.38;11.831;10.434;9.183;8.07;7.082;6.209;5.44;4.762;4.16;3.626;3.159;2.751;2.395;2.084;1.813;1.578;1.373;1.194;1.035;0.895;0.774;0.669;0.578;0.5;0.432;0.373;0.322;0.279;0.241;0.208;0.179;0.155;0.134;0.116;0.1;0.086;0.074;0.064;0.055;0.048;0.041;0.036;0.031;0.027;0.023;0.02;0.017;0.106
EUR;3.098;18.492;32.036;37.364;38.149;36.269;33.202;29.709;26.175;22.771;19.988;17.73;15.693;13.826;12.139;10.63;9.289;8.103;7.059;6.142;5.352;4.672;4.076;3.554;3.097;2.698;2.349;2.045;1.78;1.549;1.344;1.163;1.006;0.87;0.752;0.65;0.562;0.486;0.42;0.363;0.313;0.271;0.234;0.202;0.174;0.151;0.13;0.112;0.097;0.084;0.072;0.062;0.054;0.046;0.04;0.035;0.03;0.026;0.022;0.139
CHI;-305.969;266.343;361.928;392.417;384.422;354.422;318.751;281.734;246.047;212.514;185.447;164.62;145.086;127.489;111.74;97.725;85.313;74.362;64.732;56.285;49.015;42.756;37.27;32.468;28.268;24.599;21.396;18.609;16.183;14.07;12.191;10.525;9.085;7.841;6.766;5.837;5.035;4.342;3.745;3.229;2.784;2.399;2.068;1.782;1.536;1.323;1.14;0.982;0.846;0.728;0.627;0.54;0.465;0.4;0.345;0.297;0.255;0.22;0.189;1.179
IND;-655.396;-241.956;-5.574;143.184;230.66;268.36;274.519;265.616;248.579;227.645;205.228;182.85;161.8;142.216;124.369;108.333;94.068;81.474;70.418;60.758;52.753;46.112;40.275;35.151;30.657;26.721;23.279;20.279;17.661;15.377;13.351;11.56;10.006;8.658;7.49;6.478;5.601;4.842;4.185;3.617;3.125;2.7;2.332;2.015;1.74;1.503;1.298;1.12;0.967;0.835;0.721;0.622;0.537;0.464;0.4;0.345;0.298;0.257;0.222;0.191
MEST;82.371;137.176;176.029;198.597;208.581;204.533;193.472;180.837;167.572;154.603;138.774;120.76;105.179;91.276;79.005;68.249;58.865;50.707;43.633;37.512;32.46;28.278;24.626;21.438;18.655;16.229;14.114;12.275;10.675;9.282;8.052;6.967;6.027;5.213;4.508;3.897;3.369;2.912;2.517;2.175;1.879;1.623;1.402;1.211;1.046;0.904;0.78;0.674;0.582;0.502;0.434;0.375;0.323;0.279;0.241;0.208;0.18;0.155;0.134;0.115
AFR;-635.742;-401.136;-183.004;-16.012;111.667;191.978;231.077;248.991;253.271;250.155;234.326;209.504;185.004;162.017;140.982;122.064;105.265;90.486;77.579;66.369;57.126;49.496;43.253;37.771;32.96;28.742;25.052;21.835;19.027;16.575;14.4;12.476;10.804;9.353;8.095;7.004;6.058;5.239;4.53;3.916;3.385;2.925;2.528;2.184;1.887;1.63;1.408;1.216;1.05;0.907;0.783;0.676;0.583;0.504;0.435;0.375;0.324;0.28;0.241;0.208
LAM;111.582;172.685;208.646;222.145;219.22;204.292;185.136;165.659;146.885;129.352;113.485;99.078;86.495;75.248;65.3;56.557;48.909;42.243;36.447;31.418;27.238;23.754;20.708;18.045;15.719;13.688;11.915;10.372;9.027;7.856;6.815;5.893;5.095;4.404;3.807;3.289;2.842;2.455;2.121;1.832;1.582;1.366;1.18;1.019;0.88;0.759;0.656;0.566;0.489;0.422;0.364;0.314;0.271;0.234;0.202;0.174;0.15;0.13;0.112;0.096
OHI;76.61;75.348;72.452;67.154;60.307;52.625;45.154;38.612;32.933;28.007;24.153;21.112;18.474;16.139;14.082;12.276;10.695;9.312;8.103;7.049;6.132;5.335;4.64;4.034;3.507;3.048;2.649;2.302;2.001;1.739;1.507;1.302;1.124;0.971;0.838;0.724;0.625;0.539;0.466;0.402;0.347;0.299;0.258;0.223;0.192;0.166;0.143;0.124;0.107;0.092;0.079;0.069;0.059;0.051;0.044;0.038;0.033;0.028;0.024;0.021
OTH;-351.41;-186.11;18.183;152.095;234.163;271.043;278.305;271.603;257.023;238.584;216.199;192.768;169.929;149.002;130.084;113.165;98.161;84.942;73.356;63.244;54.85;47.869;41.741;36.368;31.662;27.545;23.949;20.819;18.092;15.717;13.616;11.764;10.16;8.772;7.571;6.532;5.634;4.859;4.189;3.611;3.111;2.68;2.308;1.988;1.711;1.472;1.267;1.089;0.937;0.805;0.691;0.594;0.51;0.438;0.375;0.322;0.276;0.237;0.204;0.176
