;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;12.386;15.952;20.655;25.511;30.506;35.425;40.292;45.402;50.773;56.419;62.151;67.77;74.382;80.713;86.931;93.13;99.363;105.66;112.037;118.504;124.961;131.373;137.83;144.348;150.942;157.632;164.482;171.872;179.64;187.746;195.822;203.729;211.714;219.801;228.002;236.326;244.782;253.375;262.114;271.007;280.06;289.283;298.683;308.27;318.051;328.033;338.226;348.637;359.272;370.139;381.246;392.598;404.204;416.068;428.197;440.598;453.276;466.237;479.487;493.031
EU;13.017;16.338;20.739;25.141;29.555;33.743;37.744;41.727;45.681;49.573;54.16;59.542;65.538;71.344;77.054;82.719;88.36;93.988;99.607;105.216;110.888;116.648;122.435;128.242;134.068;139.927;145.872;152.324;159.11;166.187;173.136;179.808;186.498;193.231;200.021;206.877;213.807;220.816;227.909;235.095;242.379;249.768;257.269;264.89;272.637;280.516;288.535;296.7;305.016;313.49;322.127;330.934;339.914;349.074;358.418;367.95;377.677;387.601;397.728;408.061
JAP;3.866;4.418;5.207;5.833;6.205;6.734;7.368;7.975;8.554;9.105;9.846;10.803;11.914;12.985;14.04;15.091;16.146;17.209;18.282;19.367;20.473;21.602;22.751;23.919;25.108;26.321;27.568;28.928;30.369;31.881;33.387;34.854;36.339;37.846;39.378;40.939;42.529;44.152;45.808;47.499;49.229;50.999;52.811;54.668;56.572;58.526;60.531;62.591;64.708;66.883;69.121;71.422;73.79;76.227;78.735;81.318;83.977;86.716;89.537;92.444
RUS;1.697;2.244;2.752;3.22;3.688;4.165;4.643;5.106;5.552;5.979;6.571;7.365;8.264;9.165;10.078;11.009;11.96;12.933;13.929;14.948;15.972;16.994;18.03;19.08;20.148;21.236;22.347;23.536;24.778;26.071;27.357;28.616;29.888;31.179;32.492;33.829;35.192;36.583;38.004;39.456;40.942;42.463;44.022;45.62;47.259;48.942;50.671;52.447;54.274;56.153;58.086;60.075;62.124;64.233;66.406;68.645;70.952;73.33;75.782;78.309
EUR;0.807;1.092;1.533;2.023;2.565;3.144;3.762;4.417;5.103;5.812;6.647;7.638;8.727;9.845;10.992;12.168;13.369;14.592;15.835;17.094;18.401;19.769;21.172;22.604;24.063;25.552;27.079;28.699;30.391;32.15;33.907;35.634;37.379;39.149;40.945;42.771;44.63;46.522;48.452;50.421;52.432;54.487;56.59;58.744;60.952;63.216;65.54;67.927;70.38;72.903;75.498;78.169;80.919;83.751;86.67;89.679;92.78;95.979;99.278;102.682
CHI;5.325;11.883;16.772;21.959;27.32;32.687;38.353;44.196;50.144;56.037;62.951;71.345;79.41;87.642;95.921;104.149;112.243;120.13;127.749;135.045;142.23;149.346;156.137;162.542;168.517;174.041;179.159;184.37;189.49;194.483;198.841;202.46;205.759;208.76;211.478;213.924;216.099;218.007;219.648;221.025;222.139;222.991;223.584;223.921;224.003;223.837;223.426;222.779;221.904;220.813;219.519;218.041;216.4;214.623;212.741;210.793;208.825;206.89;205.054;203.39
IND;2.429;4.573;7.347;10.858;15.133;19.837;24.957;30.714;37.086;44.04;51.506;59.429;67.834;76.445;85.211;94.072;102.967;111.84;120.639;129.318;138.621;148.839;159.342;170.017;180.799;191.666;202.71;214.576;226.99;239.867;252.68;265.2;277.732;290.288;302.869;315.475;328.109;340.774;353.475;366.219;379.015;391.873;404.801;417.809;430.907;444.102;457.402;470.815;484.348;498.006;511.793;525.714;539.772;553.969;568.307;582.787;597.408;612.169;627.068;642.103
MEST;3.468;5.741;8.709;12.292;16.455;20.806;25.453;30.679;36.517;42.992;49.018;54.103;59.722;65.129;70.386;75.523;80.549;85.466;90.272;94.965;100.069;105.772;111.653;117.651;123.738;129.911;136.207;143.086;150.344;157.934;165.545;173.051;180.644;188.337;196.139;204.055;212.09;220.253;228.551;236.995;245.593;254.357;263.299;272.429;281.759;291.301;301.066;311.067;321.313;331.818;342.593;353.649;364.997;376.65;388.619;400.916;413.552;426.54;439.891;453.618
AFR;1.295;2.442;4.322;7.054;10.797;15.191;20.129;26.058;33.058;41.176;49.088;56.168;63.304;70.49;77.632;84.647;91.462;98.014;104.256;110.149;116.342;123.05;130.616;138.311;146.017;153.684;161.453;169.782;178.505;187.544;196.472;205.119;213.727;222.294;230.819;239.3;247.736;256.129;264.483;272.805;281.101;289.379;297.647;305.913;314.185;322.47;330.775;339.106;347.469;355.869;364.31;372.797;381.331;389.917;398.555;407.248;415.995;424.798;433.657;442.569
LAM;4.552;7.104;10.327;14.056;18.127;22.298;26.693;31.425;36.471;41.809;47.462;53.349;59.844;66.285;72.71;79.13;85.543;91.939;98.307;104.636;111.436;118.905;126.635;134.568;142.673;150.948;159.406;168.48;177.981;187.871;197.701;207.296;216.968;226.752;236.671;246.74;256.97;267.374;277.964;288.753;299.755;310.983;322.452;334.176;346.17;358.448;371.026;383.918;397.139;410.703;424.627;438.925;453.612;468.703;484.214;500.16;516.557;533.422;550.769;568.615
OHI;3.838;5.079;6.549;8.011;9.395;10.637;11.763;12.869;13.952;15.002;16.27;17.79;19.477;21.099;22.686;24.252;25.805;27.348;28.882;30.408;31.933;33.461;34.983;36.499;38.007;39.513;41.03;42.68;44.41;46.211;47.969;49.647;51.323;53.004;54.692;56.391;58.101;59.824;61.56;63.31;65.077;66.861;68.663;70.485;72.328;74.193;76.081;77.993;79.929;81.892;83.88;85.896;87.939;90.011;92.11;94.239;96.396;98.582;100.797;103.042
OTH;2.61;4.16;6.894;10.57;15.238;20.579;26.591;33.577;41.558;50.534;59.979;69.762;79.513;89.691;100.139;110.716;121.293;131.752;141.981;151.88;162.222;173.257;184.207;194.88;205.128;214.85;223.985;233.375;242.579;251.475;259.507;266.477;272.715;278.219;282.982;286.994;290.244;292.723;294.42;295.329;295.441;294.753;293.259;290.958;287.854;283.951;279.265;273.818;267.644;260.794;253.34;245.382;237.052;228.526;220.032;211.86;204.379;198.051;193.466;191.385
