;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59
US;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.004;0.006;0.01;0.017;0.026;0.041;0.062;0.092;0.192;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
EU;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.002;0.003;0.005;0.008;0.013;0.021;0.032;0.049;0.072;0.151;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
JAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.002;0.003;0.005;0.008;0.013;0.021;0.032;0.049;0.072;0.151;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RUS;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.005;0.008;0.013;0.021;0.033;0.051;0.078;0.115;0.241;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
EUR;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.005;0.008;0.013;0.021;0.033;0.051;0.078;0.115;0.241;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CHI;0;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.004;0.007;0.012;0.019;0.03;0.047;0.071;0.106;0.221;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
IND;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.005;0.009;0.015;0.024;0.037;0.056;0.082;0.172;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MEST;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.006;0.01;0.016;0.025;0.039;0.059;0.087;0.181;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AFR;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.005;0.009;0.015;0.024;0.037;0.056;0.082;0.172;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
LAM;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.002;0.003;0.005;0.008;0.014;0.021;0.033;0.051;0.075;0.157;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OHI;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.005;0.009;0.015;0.024;0.037;0.056;0.082;0.172;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OTH;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.002;0.003;0.005;0.009;0.014;0.022;0.035;0.053;0.079;0.164;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
