;2005;2015;2025;2035;2045;2055;2065;2075;2085;2095;2105;2115;2125;2135;2145;2155;2165;2175;2185;2195;2205;2215;2225;2235;2245;2255;2265;2275;2285;2295;2305;2315;2325;2335;2345;2355;2365;2375;2385;2395;2405;2415;2425;2435;2445;2455;2465;2475;2485;2495;2505;2515;2525;2535;2545;2555;2565;2575;2585;2595
US;0.179;0.204;0.201;0.199;0.197;0.197;0.2;0.202;0.205;0.207;0.207;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.004
EU;0.175;0.2;0.196;0.194;0.193;0.193;0.195;0.197;0.199;0.205;0.211;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.22
JAP;0.151;0.18;0.176;0.168;0.179;0.187;0.189;0.191;0.193;0.202;0.209;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222
RUS;0.191;0.189;0.185;0.186;0.188;0.19;0.191;0.192;0.193;0.203;0.212;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222;0.222
EUR;0.195;0.226;0.218;0.214;0.211;0.211;0.21;0.21;0.211;0.217;0.223;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229;0.229
CHI;0.357;0.227;0.215;0.208;0.203;0.204;0.203;0.203;0.203;0.209;0.219;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213;0.213
IND;0.295;0.269;0.254;0.243;0.232;0.226;0.225;0.225;0.224;0.225;0.226;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228;0.228
MEST;0.257;0.25;0.239;0.231;0.221;0.218;0.218;0.22;0.221;0.216;0.209;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219;0.219
AFR;0.298;0.304;0.289;0.276;0.256;0.244;0.243;0.242;0.241;0.232;0.225;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224
LAM;0.236;0.238;0.229;0.221;0.214;0.213;0.213;0.214;0.215;0.217;0.218;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226;0.226
